Temperature,Rainfall,Humidity,Moisture,Potassium,Phosphorus,Crop
23,99,58,436,269,254,Wheat
14,50,70,383,281,301,Barley
20,114,33,367,212,46,chile
23,297,71,426,194,265,Rice
13,80,77,639,222,110,Tomato
23,90,51,443,332,241,Wheat
12,47,68,386,352,225,Barley
23,91,31,339,230,17,chile
25,270,66,419,117,254,Rice
16,89,75,527,292,314,Tomato
21,91,54,405,339,225,Wheat
12,42,64,408,452,247,Barley
24,105,33,344,267,33,chile
21,244,75,400,121,296,Rice
16,65,89,552,280,145,Tomato
21,98,55,418,216,227,Wheat
9,50,68,408,341,234,Barley
19,109,35,342,202,32,chile
26,186,76,428,234,253,Rice
13,64,87,486,282,302,Tomato
24,50,53,401,216,267,Wheat
23,39,68,407,372,335,Barley
26,95,37,388,318,45,chile
23,344,67,392,142,193,Rice
14,121,90,458,269,279,Tomato
24,80,56,437,267,265,Wheat
19,46,67,397,300,381,Barley
25,81,40,300,196,43,chile
23,312,80,391,61,90,Rice
16,142,80,615,290,343,Tomato
21,32,55,412,103,244,Wheat
9,49,64,394,385,315,Barley
23,86,36,313,323,33,chile
27,187,61,417,81,307,Rice
15,137,88,467,282,328,Tomato
22,51,56,400,209,250,Wheat
10,50,61,410,371,426,Barley
20,94,33,321,278,42,chile
22,293,74,418,100,194,Rice
13,67,90,590,284,255,Tomato
23,93,59,420,355,246,Wheat
12,43,62,395,383,361,Barley
20,110,31,391,268,37,chile
25,187,71,405,141,103,Rice
13,79,86,554,272,281,Tomato
22,76,53,443,245,290,Wheat
13,50,66,391,298,281,Barley
20,120,37,307,287,43,chile
26,207,78,393,62,156,Rice
15,150,90,570,251,356,Tomato
23,38,57,415,311,251,Wheat
27,42,61,429,381,323,Barley
25,99,36,369,327,22,chile
26,302,62,421,133,306,Rice
13,113,79,595,213,174,Tomato
23,79,58,425,179,225,Wheat
6,39,67,415,358,371,Barley
22,81,35,359,197,20,chile
26,209,80,423,72,222,Rice
15,148,86,456,267,187,Tomato
23,52,57,444,225,243,Wheat
7,47,69,424,334,429,Barley
21,106,32,377,294,18,chile
21,297,64,418,100,167,Rice
16,87,76,542,255,291,Tomato
24,89,57,434,126,243,Wheat
27,50,68,413,349,362,Barley
18,85,31,302,296,43,chile
27,283,75,421,78,223,Rice
16,119,83,647,282,40,Tomato
24,71,52,423,224,288,Wheat
19,49,69,395,311,387,Barley
26,99,33,370,327,26,chile
24,199,62,418,208,188,Rice
15,101,89,476,215,230,Tomato
23,44,50,431,324,214,Wheat
15,46,64,404,376,427,Barley
19,108,38,335,268,36,chile
25,252,69,391,206,92,Rice
14,72,84,585,291,114,Tomato
22,70,54,438,318,239,Wheat
24,41,67,423,328,241,Barley
21,80,37,360,204,43,chile
23,298,77,388,177,113,Rice
13,141,78,586,289,231,Tomato
21,55,58,427,362,218,Wheat
25,44,65,408,354,285,Barley
21,81,32,327,280,27,chile
21,280,62,394,97,241,Rice
13,112,79,616,216,80,Tomato
22,50,57,435,315,250,Wheat
27,49,67,405,439,325,Barley
26,88,31,352,331,44,chile
21,263,73,420,206,133,Rice
13,137,78,511,273,76,Tomato
24,79,53,446,251,248,Wheat
22,48,67,411,349,382,Barley
25,83,36,363,203,46,chile
23,238,65,421,69,318,Rice
14,147,88,529,258,125,Tomato
24,36,56,418,277,258,Wheat
16,43,65,385,323,285,Barley
22,86,39,349,203,25,chile
21,280,63,412,153,186,Rice
13,110,89,502,248,44,Tomato
23,82,53,410,199,261,Wheat
15,40,67,417,446,318,Barley
18,104,38,301,194,27,chile
25,345,74,414,217,275,Rice
13,60,90,599,211,133,Tomato
22,76,57,446,178,254,Wheat
5,42,64,385,442,405,Barley
23,83,37,368,332,19,chile
21,224,76,412,78,69,Rice
13,113,82,511,239,80,Tomato
22,90,55,442,238,240,Wheat
21,39,66,382,293,345,Barley
26,82,40,335,285,27,chile
24,299,67,398,147,157,Rice
13,91,78,498,215,183,Tomato
24,65,55,402,358,285,Wheat
25,47,70,428,430,433,Barley
23,111,38,333,277,21,chile
22,180,73,409,169,198,Rice
14,120,78,491,216,228,Tomato
24,73,54,407,135,251,Wheat
24,48,60,410,382,356,Barley
25,120,40,388,299,45,chile
21,245,70,406,220,68,Rice
16,123,75,531,288,311,Tomato
22,71,55,420,297,205,Wheat
25,46,67,404,403,425,Barley
20,96,32,364,255,37,chile
24,243,74,390,201,182,Rice
15,129,79,474,198,326,Tomato
22,77,56,427,127,200,Wheat
13,46,60,421,296,246,Barley
22,105,34,381,298,26,chile
24,198,70,423,185,327,Rice
14,124,86,472,212,277,Tomato
24,77,59,438,243,218,Wheat
24,41,65,412,365,365,Barley
26,88,40,376,312,30,chile
21,234,63,397,62,226,Rice
16,110,88,635,204,96,Tomato
22,53,60,426,146,236,Wheat
8,49,68,396,451,334,Barley
26,94,36,330,285,23,chile
24,326,62,395,228,288,Rice
15,82,85,459,270,47,Tomato
23,66,59,423,274,196,Wheat
27,47,65,405,333,351,Barley
18,104,39,367,231,46,chile
25,277,61,414,248,95,Rice
13,120,76,505,198,276,Tomato
21,51,51,443,292,255,Wheat
19,44,66,424,436,438,Barley
20,107,34,331,302,17,chile
27,311,71,423,176,168,Rice
15,92,84,638,267,40,Tomato
21,64,54,426,116,197,Wheat
14,39,62,381,418,389,Barley
22,87,37,327,302,35,chile
22,200,80,397,231,330,Rice
15,76,78,541,271,308,Tomato
23,93,54,430,165,250,Wheat
21,41,67,403,385,334,Barley
26,100,36,306,303,24,chile
21,208,74,396,148,69,Rice
13,68,81,579,250,329,Tomato
22,40,58,439,383,286,Wheat
25,44,70,430,373,286,Barley
20,89,40,312,208,45,chile
26,239,62,392,65,64,Rice
15,100,84,555,282,162,Tomato
22,49,53,418,363,261,Wheat
14,47,67,425,288,357,Barley
21,110,34,310,221,38,chile
23,294,78,400,139,291,Rice
13,114,81,547,291,321,Tomato
22,67,58,408,107,217,Wheat
8,49,68,406,362,408,Barley
23,101,39,384,191,22,chile
23,278,61,395,226,262,Rice
13,102,77,558,281,305,Tomato
23,76,55,449,115,223,Wheat
21,49,69,390,316,266,Barley
24,120,35,371,239,41,chile
27,196,68,400,62,321,Rice
14,77,84,555,277,162,Tomato
23,65,58,426,250,252,Wheat
15,49,70,421,421,401,Barley
21,93,37,310,308,40,chile
22,312,63,388,64,238,Rice
15,137,79,600,256,112,Tomato
22,69,54,414,162,272,Wheat
23,43,66,385,308,319,Barley
21,117,31,303,289,43,chile
21,237,79,405,264,327,Rice
16,114,83,573,248,324,Tomato
23,45,50,417,232,287,Wheat
13,43,60,382,433,379,Barley
20,98,32,328,295,33,chile
23,275,64,383,219,283,Rice
16,119,89,572,237,111,Tomato
24,66,55,431,334,243,Wheat
20,44,61,417,305,321,Barley
22,102,33,309,215,28,chile
24,278,74,404,216,132,Rice
16,74,75,457,238,79,Tomato
21,46,53,416,109,271,Wheat
10,49,70,405,332,334,Barley
22,112,32,345,234,19,chile
27,241,65,413,208,193,Rice
15,100,78,539,242,51,Tomato
21,83,52,444,389,250,Wheat
19,41,68,411,324,413,Barley
19,97,35,375,328,37,chile
26,324,60,384,56,101,Rice
16,119,78,475,207,247,Tomato
24,93,58,419,372,261,Wheat
21,42,68,413,427,253,Barley
26,100,36,305,216,45,chile
26,177,66,388,109,259,Rice
14,107,86,612,293,117,Tomato
22,53,57,428,339,246,Wheat
26,40,61,400,343,408,Barley
26,100,34,384,308,25,chile
24,290,69,408,175,194,Rice
13,118,81,520,280,355,Tomato
22,87,60,439,346,252,Wheat
15,41,60,418,372,344,Barley
25,112,32,348,275,17,chile
25,313,60,420,178,281,Rice
16,126,89,498,204,280,Tomato
24,47,60,411,191,246,Wheat
5,50,66,423,354,250,Barley
19,88,37,373,188,36,chile
25,306,70,392,87,90,Rice
14,95,75,482,246,124,Tomato
23,44,55,425,243,227,Wheat
27,46,62,397,423,305,Barley
19,107,30,356,218,24,chile
23,223,64,424,96,121,Rice
13,109,87,456,268,173,Tomato
21,92,50,444,360,198,Wheat
15,47,65,382,361,360,Barley
22,82,40,343,274,26,chile
26,229,72,414,93,150,Rice
14,140,80,645,222,183,Tomato
22,84,53,422,392,274,Wheat
27,42,63,405,384,244,Barley
18,84,31,325,248,31,chile
25,256,61,398,213,89,Rice
14,106,86,511,246,161,Tomato
21,69,57,424,170,259,Wheat
16,40,68,430,391,230,Barley
25,80,32,357,324,18,chile
22,280,74,414,236,280,Rice
16,62,80,469,288,167,Tomato
24,74,53,431,249,266,Wheat
20,41,60,395,332,229,Barley
20,100,31,352,198,41,chile
26,312,65,383,212,123,Rice
15,107,85,647,231,339,Tomato
24,52,53,436,112,236,Wheat
5,40,69,423,443,408,Barley
19,98,30,382,211,17,chile
25,243,67,404,94,171,Rice
15,64,84,622,199,147,Tomato
21,93,56,404,394,218,Wheat
25,50,67,408,395,396,Barley
20,95,37,380,210,26,chile
25,238,77,392,183,157,Rice
13,124,80,523,252,205,Tomato
22,48,54,450,368,286,Wheat
9,48,65,391,412,375,Barley
26,101,35,335,251,27,chile
22,203,76,415,242,87,Rice
15,134,76,536,261,76,Tomato
24,49,52,426,357,277,Wheat
20,45,64,429,444,262,Barley
20,114,36,342,319,35,chile
21,236,68,413,188,233,Rice
16,61,82,513,188,240,Tomato
23,57,60,440,160,267,Wheat
6,41,61,422,337,223,Barley
25,86,35,320,296,28,chile
22,207,61,384,234,118,Rice
14,76,88,458,235,50,Tomato
23,45,55,414,109,276,Wheat
17,45,61,418,450,237,Barley
23,102,39,350,240,31,chile
21,308,62,388,129,99,Rice
16,103,88,493,268,262,Tomato
21,40,50,446,117,264,Wheat
27,47,66,430,376,392,Barley
26,120,40,351,302,35,chile
25,350,62,409,267,287,Rice
14,69,90,466,292,289,Tomato
22,99,58,429,338,276,Wheat
12,40,68,385,336,235,Barley
21,81,37,355,339,21,chile
22,304,62,427,259,219,Rice
16,139,82,499,275,221,Tomato
24,76,52,406,168,289,Wheat
12,41,66,380,294,429,Barley
22,111,31,323,321,27,chile
27,350,78,392,257,255,Rice
16,82,90,603,254,133,Tomato
22,46,57,422,274,204,Wheat
8,44,65,386,312,303,Barley
19,84,40,349,293,36,chile
23,234,75,415,195,259,Rice
15,63,84,622,218,286,Tomato
23,90,53,428,268,240,Wheat
27,50,67,381,399,395,Barley
19,117,40,377,227,42,chile
24,206,65,406,100,284,Rice
16,115,75,546,252,262,Tomato
21,47,51,407,382,260,Wheat
9,48,61,387,419,338,Barley
24,92,30,355,287,17,chile
26,333,64,400,134,281,Rice
16,101,86,523,265,117,Tomato
23,65,56,400,135,280,Wheat
12,50,62,401,384,426,Barley
23,99,36,393,237,27,chile
26,194,62,428,209,128,Rice
13,76,78,546,271,115,Tomato
22,95,51,448,260,254,Wheat
22,50,67,393,280,339,Barley
19,113,40,334,326,33,chile
23,191,68,388,144,292,Rice
16,129,83,468,209,207,Tomato
22,79,51,430,375,284,Wheat
19,45,61,385,421,246,Barley
25,112,34,328,319,26,chile
25,253,76,430,113,74,Rice
15,114,80,474,269,239,Tomato
22,91,59,423,343,229,Wheat
20,40,64,423,349,398,Barley
18,98,32,328,313,32,chile
27,339,64,417,266,301,Rice
16,67,90,606,280,229,Tomato
22,47,52,424,349,276,Wheat
22,41,69,407,326,295,Barley
23,83,32,309,340,18,chile
22,208,63,429,68,108,Rice
13,103,82,577,192,99,Tomato
23,64,58,416,189,231,Wheat
21,50,64,397,381,251,Barley
22,115,33,313,226,38,chile
22,237,65,413,196,77,Rice
14,100,80,481,262,215,Tomato
23,83,55,411,146,220,Wheat
19,39,61,417,299,401,Barley
20,106,32,341,211,27,chile
25,201,63,414,215,298,Rice
14,145,84,548,233,264,Tomato
23,30,54,418,251,260,Wheat
6,45,60,403,309,377,Barley
18,106,39,302,332,34,chile
23,280,66,404,185,99,Rice
13,105,75,625,271,158,Tomato
21,61,59,439,192,256,Wheat
11,48,61,413,316,397,Barley
22,100,40,393,309,35,chile
21,245,74,393,56,84,Rice
13,121,87,548,191,268,Tomato
24,95,58,410,297,256,Wheat
20,49,60,399,377,387,Barley
21,108,36,354,298,30,chile
23,223,72,395,106,67,Rice
15,142,82,518,280,318,Tomato
21,97,52,425,282,280,Wheat
6,45,66,430,368,297,Barley
26,98,31,362,255,24,chile
25,299,70,409,223,163,Rice
15,78,83,457,209,143,Tomato
21,47,52,400,389,278,Wheat
11,42,67,380,335,334,Barley
25,97,39,304,283,22,chile
23,245,61,388,144,96,Rice
15,106,80,518,221,334,Tomato
23,40,60,433,213,246,Wheat
17,39,63,381,377,430,Barley
23,99,37,310,197,28,chile
21,349,79,409,203,109,Rice
15,96,87,455,191,52,Tomato
24,93,52,407,150,236,Wheat
22,44,61,406,405,437,Barley
19,82,32,364,338,46,chile
24,311,66,426,255,258,Rice
16,60,80,507,248,60,Tomato
21,36,60,427,130,268,Wheat
16,47,69,418,299,256,Barley
24,100,33,352,279,26,chile
25,305,80,428,159,268,Rice
15,77,82,609,227,325,Tomato
22,57,56,415,204,212,Wheat
16,45,62,386,384,434,Barley
26,95,31,315,250,38,chile
24,245,67,406,69,121,Rice
15,127,81,579,241,341,Tomato
21,63,52,419,222,198,Wheat
26,39,65,400,316,328,Barley
22,115,33,329,315,25,chile
24,223,75,408,243,117,Rice
15,148,75,563,228,109,Tomato
21,79,60,409,221,277,Wheat
17,45,64,410,384,437,Barley
24,105,35,367,239,31,chile
24,343,77,396,162,76,Rice
13,125,79,561,225,342,Tomato
22,41,57,450,255,284,Wheat
23,45,64,411,289,304,Barley
18,80,30,319,255,28,chile
22,185,62,425,94,292,Rice
16,64,80,632,262,206,Tomato
23,81,51,412,123,237,Wheat
17,44,63,383,322,353,Barley
26,82,34,322,242,28,chile
24,314,78,425,102,255,Rice
13,132,75,577,224,94,Tomato
22,73,51,441,349,216,Wheat
12,45,69,409,335,295,Barley
21,101,36,300,281,19,chile
26,183,74,385,221,169,Rice
14,107,82,544,230,142,Tomato
22,79,57,437,176,225,Wheat
11,41,62,419,285,227,Barley
21,93,33,392,203,25,chile
26,337,61,398,206,286,Rice
13,136,80,563,198,78,Tomato
23,41,55,400,159,233,Wheat
21,49,67,391,429,369,Barley
18,112,33,350,288,33,chile
21,298,73,429,231,325,Rice
15,64,81,454,293,45,Tomato
23,52,52,449,153,214,Wheat
11,41,68,408,342,432,Barley
25,88,37,340,206,44,chile
27,222,78,428,83,172,Rice
14,144,87,613,253,351,Tomato
22,55,52,419,259,210,Wheat
16,46,60,382,386,324,Barley
18,108,33,368,268,27,chile
24,255,76,400,197,204,Rice
16,90,87,555,230,197,Tomato
22,93,53,428,386,204,Wheat
18,49,69,428,347,245,Barley
19,86,38,388,236,28,chile
22,260,65,400,185,103,Rice
14,124,83,611,226,28,Tomato
23,88,55,446,114,265,Wheat
21,45,61,399,356,415,Barley
19,86,30,305,234,29,chile
22,202,62,397,178,152,Rice
14,150,75,583,273,192,Tomato
22,88,56,410,175,202,Wheat
18,49,67,399,349,303,Barley
23,81,31,368,251,27,chile
22,291,74,426,107,166,Rice
16,102,87,553,238,314,Tomato
23,80,57,400,184,282,Wheat
15,48,64,385,305,230,Barley
26,110,35,399,291,43,chile
21,293,78,392,56,220,Rice
13,98,82,547,263,178,Tomato
21,79,50,422,375,222,Wheat
9,46,69,428,377,253,Barley
21,90,32,317,279,19,chile
27,206,66,420,227,227,Rice
16,72,84,598,196,246,Tomato
22,56,54,431,220,284,Wheat
19,40,64,420,324,229,Barley
25,103,37,392,233,33,chile
23,314,73,390,268,140,Rice
14,142,84,631,263,341,Tomato
21,69,59,436,385,251,Wheat
18,50,60,411,372,427,Barley
21,109,30,329,330,22,chile
24,288,79,409,190,199,Rice
16,82,76,609,244,45,Tomato
21,48,58,420,310,268,Wheat
18,43,64,419,421,382,Barley
21,99,35,313,221,31,chile
25,185,62,421,131,75,Rice
14,108,76,518,222,132,Tomato
23,77,51,403,165,217,Wheat
27,40,70,429,385,329,Barley
18,88,35,340,262,23,chile
26,183,79,399,90,180,Rice
14,119,86,461,234,234,Tomato
22,38,58,442,125,208,Wheat
20,50,67,390,361,334,Barley
20,85,31,305,212,31,chile
22,268,77,396,180,101,Rice
14,150,86,548,226,212,Tomato
24,51,51,404,188,268,Wheat
22,41,61,380,400,304,Barley
25,96,34,318,208,37,chile
27,318,79,397,112,92,Rice
16,64,80,575,231,156,Tomato
22,51,55,410,378,224,Wheat
21,40,61,423,399,402,Barley
26,82,31,311,258,29,chile
21,320,79,383,237,258,Rice
14,87,88,600,239,104,Tomato
24,79,57,442,371,244,Wheat
6,47,65,422,370,374,Barley
26,117,30,371,226,35,chile
22,316,78,398,242,261,Rice
15,103,88,497,251,118,Tomato
24,47,51,430,168,194,Wheat
21,48,64,383,366,383,Barley
21,97,36,377,187,40,chile
24,309,69,421,67,249,Rice
16,75,76,563,252,251,Tomato
21,99,50,408,173,220,Wheat
25,50,65,416,388,282,Barley
22,101,39,342,281,45,chile
22,273,76,429,133,248,Rice
15,149,85,608,240,171,Tomato
21,60,57,436,206,273,Wheat
13,50,66,400,438,388,Barley
19,91,36,304,187,25,chile
23,255,71,407,81,243,Rice
16,67,78,614,245,183,Tomato
24,91,60,420,192,257,Wheat
19,41,62,416,332,385,Barley
18,94,31,346,330,45,chile
21,262,67,404,91,203,Rice
15,116,82,472,246,111,Tomato
22,48,55,441,116,237,Wheat
22,46,63,392,334,348,Barley
24,100,34,364,262,38,chile
27,219,60,417,245,306,Rice
15,103,86,546,280,113,Tomato
23,50,52,431,153,217,Wheat
16,45,66,380,318,281,Barley
21,96,36,400,261,36,chile
24,267,65,396,149,303,Rice
14,110,90,477,235,340,Tomato
21,80,51,425,210,285,Wheat
10,47,67,391,418,284,Barley
23,118,36,343,188,46,chile
24,336,74,409,123,300,Rice
15,143,85,549,189,317,Tomato
21,42,54,436,163,226,Wheat
26,43,66,394,346,417,Barley
22,103,30,341,232,23,chile
21,231,61,394,103,126,Rice
15,139,79,644,233,121,Tomato
22,84,57,407,241,248,Wheat
15,46,66,409,401,354,Barley
24,98,38,312,276,19,chile
24,298,65,391,231,324,Rice
16,113,88,493,219,265,Tomato
24,41,58,425,102,291,Wheat
14,50,63,399,359,375,Barley
21,97,38,303,236,21,chile
22,293,78,428,169,91,Rice
16,137,79,483,215,301,Tomato
24,57,50,428,364,247,Wheat
26,46,65,381,335,321,Barley
21,95,34,333,296,39,chile
23,314,66,390,201,323,Rice
14,75,78,615,205,323,Tomato
23,40,53,441,223,222,Wheat
11,45,60,404,311,238,Barley
25,106,39,357,276,30,chile
25,185,78,427,244,130,Rice
13,105,78,497,248,41,Tomato
21,34,54,411,106,280,Wheat
14,45,69,392,297,401,Barley
20,88,40,373,302,22,chile
26,252,73,427,148,252,Rice
15,116,78,553,197,79,Tomato
24,73,53,437,354,194,Wheat
10,42,65,409,395,368,Barley
26,107,38,340,237,42,chile
25,175,71,411,150,248,Rice
16,69,79,579,287,274,Tomato
21,39,59,444,384,214,Wheat
14,47,61,390,354,420,Barley
19,95,39,390,268,23,chile
25,266,70,412,198,206,Rice
13,104,85,649,242,56,Tomato
24,60,50,426,110,236,Wheat
26,46,69,399,383,224,Barley
19,88,31,302,224,29,chile
21,278,65,424,198,93,Rice
13,139,86,569,202,108,Tomato
23,97,56,418,349,274,Wheat
6,46,63,425,340,296,Barley
18,103,32,300,275,22,chile
25,296,65,392,182,127,Rice
16,108,86,510,280,70,Tomato
23,98,57,418,342,243,Wheat
18,49,66,412,311,334,Barley
22,115,36,396,200,35,chile
24,257,71,392,94,213,Rice
15,131,79,591,270,111,Tomato
21,71,53,416,244,273,Wheat
9,50,66,391,337,223,Barley
25,112,30,302,236,34,chile
22,192,72,429,217,230,Rice
13,60,80,525,267,152,Tomato
22,64,51,447,196,283,Wheat
6,40,65,391,374,364,Barley
24,98,39,383,231,22,chile
22,242,71,430,105,124,Rice
13,60,78,456,190,58,Tomato
22,98,54,416,111,196,Wheat
7,42,65,383,346,238,Barley
22,95,32,392,262,22,chile
26,347,63,414,143,256,Rice
14,93,81,539,248,51,Tomato
23,55,59,443,297,267,Wheat
10,46,69,398,321,284,Barley
22,113,30,376,289,20,chile
27,213,67,384,241,188,Rice
14,109,82,559,189,185,Tomato
22,50,56,412,305,220,Wheat
8,43,66,395,428,368,Barley
23,91,30,344,335,39,chile
23,322,75,415,184,136,Rice
13,139,80,456,199,220,Tomato
22,56,53,423,243,249,Wheat
13,48,69,386,359,256,Barley
19,111,35,307,282,26,chile
24,234,61,392,249,277,Rice
13,146,90,579,239,262,Tomato
24,42,51,408,203,237,Wheat
8,39,68,398,336,376,Barley
23,103,32,310,250,40,chile
25,321,79,419,72,226,Rice
13,108,90,519,273,132,Tomato
21,69,55,413,127,271,Wheat
17,39,70,388,450,382,Barley
26,86,36,319,327,37,chile
26,216,63,423,254,82,Rice
16,112,90,496,259,57,Tomato
24,40,56,427,123,282,Wheat
9,45,62,399,301,306,Barley
21,110,32,364,232,46,chile
25,321,76,387,232,98,Rice
15,121,82,492,236,255,Tomato
23,43,51,441,357,234,Wheat
13,41,68,387,412,437,Barley
22,86,40,361,286,34,chile
21,235,71,411,90,281,Rice
15,61,86,491,270,178,Tomato
21,54,51,448,173,274,Wheat
19,48,62,395,317,341,Barley
18,101,40,335,290,28,chile
25,200,73,406,267,309,Rice
15,62,76,600,232,166,Tomato
22,85,53,411,316,251,Wheat
16,46,65,404,355,300,Barley
25,106,40,304,269,31,chile
23,251,60,386,58,155,Rice
15,62,86,463,241,309,Tomato
23,58,50,447,372,280,Wheat
9,46,61,395,367,280,Barley
20,97,39,353,292,38,chile
21,294,71,397,107,177,Rice
15,131,82,455,259,246,Tomato
24,86,54,428,172,225,Wheat
10,39,70,386,281,406,Barley
24,91,37,395,289,34,chile
23,220,68,404,222,92,Rice
13,98,82,529,192,100,Tomato
23,92,56,403,225,239,Wheat
10,42,64,409,397,338,Barley
23,101,40,313,205,45,chile
21,214,66,395,211,319,Rice
13,66,83,531,240,78,Tomato
21,42,56,441,120,254,Wheat
11,44,60,401,281,290,Barley
20,101,39,400,276,18,chile
21,332,79,412,240,277,Rice
16,129,90,592,276,164,Tomato
24,77,50,444,242,231,Wheat
9,45,66,404,366,352,Barley
19,111,36,358,202,41,chile
26,287,71,395,137,291,Rice
14,144,89,557,261,315,Tomato
24,52,57,407,131,194,Wheat
11,40,69,428,344,349,Barley
21,88,34,303,225,34,chile
22,179,72,427,249,83,Rice
16,79,78,611,255,143,Tomato
24,92,52,442,117,274,Wheat
20,39,67,399,339,299,Barley
25,85,39,365,256,19,chile
25,185,62,408,60,140,Rice
15,117,84,592,192,42,Tomato
23,49,58,427,319,235,Wheat
6,46,64,397,338,280,Barley
24,92,40,325,281,41,chile
26,208,66,413,195,260,Rice
14,67,75,535,208,260,Tomato
23,32,52,416,205,240,Wheat
9,42,62,390,338,296,Barley
21,80,34,392,340,23,chile
26,313,63,395,262,271,Rice
16,111,84,455,195,356,Tomato
23,98,60,429,339,198,Wheat
11,47,70,417,421,370,Barley
23,88,33,359,304,25,chile
21,182,76,416,170,103,Rice
15,124,81,597,225,171,Tomato
22,44,56,402,372,285,Wheat
21,45,68,416,389,383,Barley
20,94,35,304,335,32,chile
26,199,66,387,78,162,Rice
16,127,84,464,283,210,Tomato
24,45,59,437,141,246,Wheat
14,44,70,420,354,310,Barley
22,101,30,394,234,25,chile
24,284,65,398,176,299,Rice
13,128,79,650,265,47,Tomato
24,62,60,402,265,221,Wheat
20,47,61,390,309,342,Barley
22,80,38,377,244,21,chile
22,214,64,403,113,124,Rice
15,79,81,515,274,79,Tomato
24,53,50,404,269,284,Wheat
9,50,60,428,352,270,Barley
25,117,30,339,198,27,chile
26,276,78,416,79,140,Rice
16,148,90,471,289,144,Tomato
22,92,51,420,345,268,Wheat
8,39,67,408,387,251,Barley
18,109,40,353,207,39,chile
22,207,64,388,142,149,Rice
14,137,90,572,272,147,Tomato
22,82,59,405,290,211,Wheat
19,48,66,381,319,397,Barley
25,88,32,379,301,24,chile
27,197,80,411,127,250,Rice
16,117,79,558,236,351,Tomato
22,67,54,414,385,248,Wheat
26,47,67,427,441,421,Barley
24,116,38,325,299,19,chile
24,350,68,395,106,258,Rice
14,87,86,525,240,112,Tomato
23,73,58,440,331,241,Wheat
23,43,67,382,284,235,Barley
20,93,38,349,323,27,chile
25,342,75,418,162,288,Rice
16,62,83,522,191,224,Tomato
23,73,50,423,122,264,Wheat
16,49,63,405,451,336,Barley
19,102,38,342,246,46,chile
24,273,74,410,60,298,Rice
16,100,89,611,265,33,Tomato
24,87,60,449,140,278,Wheat
20,48,66,382,389,244,Barley
26,83,35,388,296,28,chile
25,205,67,391,102,203,Rice
15,64,81,455,272,187,Tomato
23,84,55,426,230,238,Wheat
21,47,66,382,341,430,Barley
19,114,30,324,221,45,chile
21,241,79,399,111,161,Rice
14,108,89,595,208,212,Tomato
23,76,58,410,195,205,Wheat
18,46,68,422,304,408,Barley
26,80,35,340,297,22,chile
25,214,70,415,248,148,Rice
14,107,82,505,196,185,Tomato
24,66,57,428,118,227,Wheat
6,43,64,426,299,231,Barley
20,97,38,329,279,29,chile
27,216,77,412,166,71,Rice
14,106,76,524,234,178,Tomato
23,40,52,437,265,215,Wheat
26,40,64,381,343,364,Barley
22,86,35,351,333,30,chile
26,217,80,429,166,256,Rice
16,123,80,561,261,262,Tomato
24,35,59,433,379,199,Wheat
27,45,65,391,386,381,Barley
24,86,40,397,205,39,chile
21,260,61,430,223,104,Rice
14,103,80,521,204,248,Tomato
22,72,58,443,369,199,Wheat
9,47,65,408,385,293,Barley
24,90,33,346,190,26,chile
27,257,61,388,256,229,Rice
14,63,80,469,220,119,Tomato
23,78,60,450,321,234,Wheat
11,39,70,428,349,406,Barley
25,104,35,337,320,32,chile
22,233,74,402,241,208,Rice
15,86,75,548,207,43,Tomato
21,30,57,422,194,237,Wheat
17,41,66,390,425,423,Barley
26,102,39,375,277,26,chile
27,199,64,394,94,169,Rice
15,80,76,536,288,191,Tomato
21,55,59,428,253,222,Wheat
7,48,64,416,407,366,Barley
22,103,31,303,286,29,chile
26,195,65,393,171,75,Rice
14,112,89,626,265,266,Tomato
21,56,50,405,254,248,Wheat
7,41,67,420,365,297,Barley
24,110,32,355,270,31,chile
26,193,63,419,254,72,Rice
15,90,82,641,239,105,Tomato
21,73,56,432,293,234,Wheat
22,41,63,395,412,395,Barley
19,115,36,319,311,30,chile
26,250,67,399,117,222,Rice
14,85,81,473,226,28,Tomato
21,85,55,402,217,200,Wheat
6,45,60,416,342,259,Barley
21,101,30,383,187,34,chile
23,257,77,385,89,216,Rice
14,136,77,570,253,45,Tomato
22,82,51,410,132,224,Wheat
7,40,64,408,434,336,Barley
19,94,33,383,210,29,chile
22,225,73,429,63,198,Rice
16,115,86,504,285,86,Tomato
21,74,53,412,309,253,Wheat
12,49,62,392,408,287,Barley
19,88,32,378,227,44,chile
23,200,67,419,260,64,Rice
14,127,88,451,264,275,Tomato
24,65,59,433,217,250,Wheat
25,41,61,411,374,371,Barley
26,94,32,310,209,41,chile
26,195,74,411,112,273,Rice
14,129,80,531,286,52,Tomato
21,74,55,400,262,269,Wheat
5,40,65,386,364,366,Barley
24,92,38,333,339,31,chile
25,209,67,419,250,257,Rice
16,137,86,456,288,171,Tomato
22,85,58,402,301,256,Wheat
21,47,64,392,387,230,Barley
22,85,33,304,227,25,chile
26,349,76,407,133,111,Rice
15,145,87,450,216,199,Tomato
22,45,60,433,175,259,Wheat
21,50,69,394,441,238,Barley
18,85,32,329,270,45,chile
27,320,72,406,128,84,Rice
13,98,78,593,238,46,Tomato
23,47,58,421,374,213,Wheat
11,43,60,417,380,383,Barley
21,120,33,315,265,28,chile
26,221,80,416,195,331,Rice
13,86,89,547,278,229,Tomato
24,57,56,405,124,245,Wheat
